No,Operation Name,ST Routing,Area,LT,ERPCode
1,五轴磨,A-五轴磨,车削&磨削 TG,7,1303
2,包装,D-包装,后处理 EOL,2,1303
3,喷砂,D-喷砂,后处理 EOL,2,1303
4,平面磨,A-平面磨,车削&磨削 TG,7,1303
5,微喷砂,D-微喷砂,纵切 ST,5,1303
6,折弯,D-折弯,后处理 EOL,2,1303
7,抛光,D-抛光,后处理 EOL,2,1303
8,数控车,A-车削,车削&磨削 TG,7,1303
9,数控铣,C-数控铣,加工中心 MCT,8,1303
10,无心磨,A-平面磨,车削&磨削 TG,7,1303
11,氩弧焊,D-氩弧焊,后处理 EOL,2,1303
12,注塑,D-注塑,后处理 EOL,2,1303
13,涂层,E-外协,外协 OS,7,1303
14,涂色,D-涂色,后处理 EOL,2,1303
15,深孔钻,A-深孔钻,车削&磨削 TG,5,1303
16,清洗,D-清洗,后处理 EOL,2,1303
17,激光打标,D-激光打标,后处理 EOL,2,1303
18,激光焊接,D-激光焊接,后处理 EOL,2,1303
19,点钝化,D-点钝化,后处理 EOL,2,1303
20,电火花,E-外协,外协 OS,7,1303
21,电解,D-电解,后处理 EOL,2,1303
22,电解去氢,D-电解,后处理 EOL,2,1303
23,真空热处理,D-真空热处理,后处理 EOL,2,1303
24,研磨,D-研磨,后处理 EOL,2,1303
25,纵切车,B-纵切车,纵切 ST,5,1303
26,线切割,A-线切割,车削&磨削 TG,5,1303
27,终检,E-检验,终检 FI,2,1303
28,装配,D-装配,后处理 EOL,2,1303
29,车削,A-车削,车削&磨削 TG,7,1303
30,钝化,D-钝化,后处理 EOL,2,1303
31,钳工,D-钳工,后处理 EOL,2,1303
32,锯,C-锯床,加工中心 MCT,2,1303
33,镀铬,E-外协,外协 OS,7,1303
34,阳极氧化,E-外协,外协 OS,7,1303
35,非真空热处理,D-非真空热处理,后处理 EOL,2,1303
36,内包,,无菌 STR,,9997
37,冲,,后处理 EOL,,9997
38,初洗,,无菌 STR,,9997
39,压型,,后处理 EOL,,9997
40,喷丸,,后处理 EOL,,9997
41,喷砂,,后处理 EOL,,9997
42,外包,,无菌 STR,,9997
43,打标,,后处理 EOL,,9997
44,打标_包装,,后处理 EOL,,9997
45,抛光,,后处理 EOL,,9997
46,水切割,,后处理 EOL,,9997
47,注塑,,后处理 EOL,,9997
48,涂色,,后处理 EOL,,9997
49,清洗,,后处理 EOL,,9997
50,热处理,,后处理 EOL,,9997
51,热缩,,后处理 EOL,,9997
52,焊接,,后处理 EOL,,9997
53,焊接(氩弧焊),,后处理 EOL,,9997
54,焊接(激光焊),,后处理 EOL,,9997
55,电解,,后处理 EOL,,9997
56,着色,,后处理 EOL,,9997
57,研磨,,后处理 EOL,,9997
58,磨(五轴),,车削&磨削 TG,,9997
59,磨(工具),,车削&磨削 TG,,9997
60,磨(无心),,车削&磨削 TG,,9997
61,粘胶,,后处理 EOL,,9997
62,精洗,,后处理 EOL,,9997
63,线切割,,线切割 WED,,9997
64,装配,,后处理 EOL,,9997
65,车(中心),,车削&磨削 TG,,9997
66,车(数),,车削&磨削 TG,,9997
67,车(普),,车削&磨削 TG,,9997
68,车(纵切),,纵切 ST,,9997
69,钝化,,后处理 EOL,,9997
70,钳工,,后处理 EOL,,9997
71,铣(中心),,加工中心 MCT,,9997
72,铣(数),,加工中心 MCT,,9997
73,铣(普),,加工中心 MCT,,9997
74,Preparation step,F-准备,无区域 NA,1,1303
75,Preparation step ,F-准备,无区域 NA,1,1303
76,Split_Order,F-分工单,无区域 NA,1,1303
77,下料,C-锯床,加工中心 MCT,2,1303
78,下料（可外协）,C-锯床,加工中心 MCT,2,1303
79,五轴磨(可外协),A-五轴磨,车削&磨削 TG,7,1303
80,五轴磨-苏州阿诺,A-五轴磨,车削&磨削 TG,7,1303
81,五轴磨（可外协）,A-五轴磨,车削&磨削 TG,7,1303
82,去毛刺,D-去毛刺,后处理 EOL,2,1303
83,备料（锯断）,C-锯床,加工中心 MCT,2,1303
84,外协电火花,E-外协,外协 OS,7,1303
85,多轴车铣复合,A-多轴车,车削&磨削 TG,7,1303
86,多轴车铣复合中心,A-多轴车,车削&磨削 TG,7,1303
87,局部钝化,D-钝化,后处理 EOL,2,1303
88,打标,D-激光打标,后处理 EOL,2,1303
89,数控车(可外协),A-车削,车削&磨削 TG,7,1303
90,数控车（可外协）,A-车削,车削&磨削 TG,7,1303
91,数控铣(可外协),C-数控铣,加工中心 MCT,8,1303
92,数控铣（可外协）,C-数控铣,加工中心 MCT,8,1303
93,数控铣（外协）,C-数控铣,加工中心 MCT,8,1303
94,数车,A-车削,车削&磨削 TG,7,1303
95,断料,C-锯床,加工中心 MCT,2,1303
96,无心磨(可外协),A-平面磨,车削&磨削 TG,7,1303
97,无心磨（可外协）,A-平面磨,车削&磨削 TG,7,1303
98,柠檬酸钝化,D-钝化,后处理 EOL,2,1303
99,检验,E-检验,终检 FI,2,1303
100,氩弧焊接,D-氩弧焊,后处理 EOL,2,1303
101,水切割(可外协),E-外协,外协 OS,7,1303
102,水切割（可外协）,E-外协,外协 OS,7,1303
103,涂层(外协),E-外协,外协 OS,7,1303
104,涂层（外协）,E-外协,外协 OS,7,1303
105,深孔钻(可外协),A-深孔钻,车削&磨削 TG,5,1303
106,深孔钻(外协),A-深孔钻,车削&磨削 TG,5,1303
107,深孔钻（可外协）,A-深孔钻,车削&磨削 TG,5,1303
108,深孔钻（外协）,A-深孔钻,车削&磨削 TG,5,1303
109,清洗Cleaning,D-清洗,后处理 EOL,2,1303
110,激光焊,D-激光焊接,后处理 EOL,2,1303
111,激光焊接(可外协）L,D-激光焊接,后处理 EOL,2,1303
112,点钝,D-点钝化,后处理 EOL,2,1303
113,热处理,D-热处理,后处理 EOL,2,1303
114,热处理(真空),D-热处理,后处理 EOL,2,1303
115,热处理(非真空),D-热处理,后处理 EOL,2,1303
116,热处理（真空）（可外协）,D-热处理,后处理 EOL,2,1303
117,热处理（非真空）,D-热处理,后处理 EOL,2,1303
118,焊接,D-焊接,后处理 EOL,2,1303
119,生产工单完成,F-准备,无区域 NA,1,1303
120,电火花(外协),E-外协,外协 OS,7,1303
121,电火花（外协）,E-外协,外协 OS,7,1303
122,电脉冲（可外协）,E-外协,外协 OS,7,1303
123,真空热处理(可外协),D-真空热处理,后处理 EOL,2,1303
124,真空热处理(可外协）,D-真空热处理,后处理 EOL,2,1303
125,真空热处理(外协),D-真空热处理,后处理 EOL,2,1303
126,真空热处理（可外协),D-真空热处理,后处理 EOL,2,1303
127,真空热处理（可外协）,D-真空热处理,后处理 EOL,2,1303
128,真空热处理（可外协）Va,D-真空热处理,后处理 EOL,2,1303
129,硅胶注塑,D-硅胶注塑,后处理 EOL,2,1303
130,纵切,B-纵切车,纵切 ST,5,1303
131,纵切车(可外协),B-纵切车,纵切 ST,5,1303
132,纵切车（可外协）,B-纵切车,纵切 ST,5,1303
133,线切割(可外协),A-线切割,车削&磨削 TG,5,1303
134,线切割(外协),A-线切割,车削&磨削 TG,5,1303
135,线切割-慢丝(可外协,A-线切割,车削&磨削 TG,5,1303
136,线切割-慢丝(可外协),A-线切割,车削&磨削 TG,5,1303
137,线切割-慢丝（可外协）,A-线切割,车削&磨削 TG,5,1303
138,线切割（可外协）,A-线切割,车削&磨削 TG,5,1303
139,线切割（可外协）-众志达,A-线切割,车削&磨削 TG,5,1303
140,线切割（外协）,A-线切割,车削&磨削 TG,5,1303
141,装 配,D-装配,后处理 EOL,2,1303
142,车,A-车削,车削&磨削 TG,7,1303
143,车削(可外协),A-车削,车削&磨削 TG,7,1303
144,车削中心,A-车削,车削&磨削 TG,7,1303
145,车削（可外协）,A-车削,车削&磨削 TG,7,1303
146,钳,D-钳工,后处理 EOL,2,1303
147,钳工(装配),D-钳工,后处理 EOL,2,1303
148,钳装,D-钳装,后处理 EOL,2,1303
149,钻深孔,A-深孔钻,车削&磨削 TG,5,1303
150,钻深孔（外协）,A-深孔钻,车削&磨削 TG,5,1303
151,铣,C-数控铣,加工中心 MCT,8,1303
152,锯(可外协),C-锯床,加工中心 MCT,2,1303
153,锯床,C-锯床,加工中心 MCT,2,1303
154,锯床（可外协）,C-锯床,加工中心 MCT,2,1303
155,锯（可外协）,C-锯床,加工中心 MCT,2,1303
156,锯（外协）,C-锯床,加工中心 MCT,2,1303
157,镀铬(外,E-外协,外协 OS,7,1303
158,镀铬(外协),E-外协,外协 OS,7,1303
159,镀铬(外协）,E-外协,外协 OS,7,1303
160,镀铬(外协）-美捷特,E-外协,外协 OS,7,1303
161,镀铬-外协,E-外协,外协 OS,7,1303
162,镀铬（外协）,E-外协,外协 OS,7,1303
163,阳极氧化(外协),E-外协,外协 OS,7,1303
164,阳极氧化外协,E-外协,外协 OS,7,1303
165,阳极氧化（外协）,E-外协,外协 OS,7,1303
166,非真空热处理（可外协）,D-非真空热处理,后处理 EOL,2,1303
