Step_Name,Cleaned_Operation
#,#
1.0,1.0
10,10
10.0,10.0
100,100
100.0,100.0
1000,1000
1000.0,1000.0
105,105
105.0,105.0
108.0,108.0
110,110
110.0,110.0
115,115
115.0,115.0
118,118
118.0,118.0
120,120
120.0,120.0
122,122
122.0,122.0
125,125
125.0,125.0
127,127
127.0,127.0
128,128
128.0,128.0
130,130
130.0,130.0
131,131
131.0,131.0
132,132
135,135
135.0,135.0
136,136
136.0,136.0
137,137
137.0,137.0
138.0,138.0
140,140
140.0,140.0
145,145
145.0,145.0
148,148
148.0,148.0
15,15
15.0,15.0
150,150
150.0,150.0
155,155
155.0,155.0
158,158
158.0,158.0
160,160
160.0,160.0
165,165
165.0,165.0
168,168
168.0,168.0
17.0,17.0
170,170
170.0,170.0
175,175
175.0,175.0
178,178
178.0,178.0
18.0,18.0
180,180
180.0,180.0
185,185
185.0,185.0
188,188
188.0,188.0
19.0,19.0
190,190
190.0,190.0
195,195
195.0,195.0
198,198
198.0,198.0
20,20
20.0,20.0
200,200
200.0,200.0
21.0,21.0
210,210
210.0,210.0
220,220
220.0,220.0
23.0,23.0
230,230
230.0,230.0
24,24
24.0,24.0
25,25
25.0,25.0
26,26
26.0,26.0
27.0,27.0
28,28
28.0,28.0
30,30
30.0,30.0
31.0,31.0
35,35
35.0,35.0
36,36
36.0,36.0
37,37
37.0,37.0
38.0,38.0
40,40
40.0,40.0
42.0,42.0
45,45
45.0,45.0
46.0,46.0
47.0,47.0
48.0,48.0
5,5
5.0,5.0
50,50
50.0,50.0
53.0,53.0
55,55
55.0,55.0
57,57
57.0,57.0
58,58
58.0,58.0
60,60
60.0,60.0
65,65
65.0,65.0
67,67
67.0,67.0
68.0,68.0
7.0,7.0
70,70
70.0,70.0
75,75
75.0,75.0
77,77
77.0,77.0
8.0,8.0
80,80
80.0,80.0
85,85
85.0,85.0
87.0,87.0
88,88
88.0,88.0
9.0,9.0
90,90
90.0,90.0
95,95
95.0,95.0
97.0,97.0
98.0,98.0
ATP功能测试,ATP功能测试
ATP测试,ATP测试
EO残留检验,EO残留检验
EO灭菌(外协),EO灭菌(外协)
EO灭菌(外协)检验,EO灭菌(外协)检验
EO灭菌-外协,EO灭菌(外协)
EO灭菌（外协)检验 PII-J00874,EO灭菌(外协)检验
EO灭菌（外协） WI-346,EO灭菌(外协)
OEM装配(局部钝化),OEM装配(局部钝化)
OEM装配(清洗),OEM装配(清洗)
OEM装配(激光焊接),OEM装配(激光焊接)
OEM装配(终检),OEM装配(终检)
OEM装配(装配),OEM装配(装配)
OEM装配(钳工),OEM装配(钳工)
Preparation step,Preparation step
Split_Order,Split_Order
下料,锯
下料（可外协）,锯(外协)
五轴磨,五轴磨
五轴磨(可外协),五轴磨(外协)
五轴磨-苏州阿诺,五轴磨-苏州阿诺
五轴磨检验,五轴磨检验
五轴磨（可外协）,五轴磨(外协)
内包,内包
内包 PS-M046780C001-40,内包
内包 WI-040,内包
内包WI-040,内包
内包检验,内包检验
内包检验 PII-GM046780C001,内包检验
内包检验 PII-Q00011,内包检验
内包检验PII-Q00011,内包检验
冲,冲
冲 WI-054,冲
冲检验,冲检验
初洗,初洗
初洗 DMR-00019419,初洗
初洗 WI-004,初洗
初洗WI-004,初洗
功能测试,功能测试
包装,包装
包装  WI-ED-011,包装
包装 PS-36432000-02-60,包装
包装 PS-36432000-03-60,包装
包装 PS-36432000-50,包装
包装 PS-36432100-01-150,包装
包装 PS-608379-03-50,包装
包装 PS-608383-120,包装
包装 WI-102,包装
包装 WI-142,包装
包装(着色外协),包装(外协)
包装PS-231290-40,包装
包装PS-291320-90,包装
包装WI-102,包装
包装WI-142,包装
包装WI-ED-011,包装
包装检验,包装检验
包装检验   详细参见检验指导书,包装检验 详细参见检验指导书
包装检验 PII-G00808,包装检验
包装检验 PII-G02039,包装检验
包装检验 PII-G10750150(PS-A),包装检验
包装检验 PII-G137190-00,包装检验
包装检验 PII-G178130,包装检验
包装检验 PII-G181060-01,包装检验
包装检验 PII-G226200,包装检验
包装检验 PII-G608379-03,包装检验
包装检验 PII-G608383,包装检验
包装检验 PII-Q00011,包装检验
包装检验 详细参见检验指导书,包装检验 详细参见检验指导书
包装检验PII-G01553,包装检验
包装检验PII-G02211,包装检验
包装检验PII-G02303,包装检验
包装检验PII-G02304,包装检验
包装检验PII-G139230,包装检验
包装检验PII-G150120,包装检验
包装检验PII-G150150,包装检验
包装检验PII-G175900,包装检验
包装检验PII-G177900,包装检验
包装检验PII-G178200A,包装检验
包装检验PII-G178210A,包装检验
包装检验PII-G181060,包装检验
包装检验PII-G181220,包装检验
包装检验PII-G291320,包装检验
包装检验PII-G615000,包装检验
包装检验参见相关检验文件,包装检验参见相关检验文件
包装（检验）,包装（检验）
化学蚀刻(外协),化学蚀刻(外协)
化学蚀刻(外协)检验,化学蚀刻(外协)检验
化学蚀刻（外协）,化学蚀刻(外协)
化学蚀刻（外协）检验,化学蚀刻(外协)检验
压型,压型
压型 PS-36432100-01-40,压型
压型 WI-057,压型
压型 WI-ED-038,压型
压型检验,压型检验
压型检验 PII-G133104146R-S,压型检验
压型检验 PII-G32802000-H PS工艺,压型检验 PS工艺
压型检验 PII-G32802000-S,压型检验
压型检验 PII-G36431000-01,压型检验
压型检验 PII-G36431100-01,压型检验
压型检验 PII-G36431200-01,压型检验
压型检验 PII-G36432100-01,压型检验
压型检验 PII-G39590900-H PS工艺,压型检验 PS工艺
压型检验 PII-G39659000-02,压型检验
去毛刺,去毛刺
喷丸,喷丸
喷丸 WI-132,喷丸
喷丸WI-132,喷丸
喷丸检验,喷丸检验
喷丸检验  PII-G02039,喷丸检验
喷丸检验  PII-G106240-01,喷丸检验
喷丸检验 PII-G00808,喷丸检验
喷丸检验 PII-G01245（32372000-01）,喷丸检验（32372000-01）
喷丸检验 PII-G1/33100200-H,喷丸检验/33100200-H
喷丸检验 PII-G1/33140000-H,喷丸检验/33140000-H
喷丸检验 PII-G133104146R-S,喷丸检验
喷丸检验 PII-G32802000-H PS工艺,喷丸检验 PS工艺
喷丸检验 PII-G32802000-S,喷丸检验
喷丸检验 PII-G32820100-H PS工艺,喷丸检验 PS工艺
喷丸检验 PII-G35040000-01-J,喷丸检验
喷丸检验 PII-G39590900-H PS工艺,喷丸检验 PS工艺
喷丸检验 PII-G39659000-02,喷丸检验
喷丸检验 PII-G39789000(PS-A),喷丸检验
喷丸检验 PII-G39869008-SF,喷丸检验
喷丸检验 参见相关检验文件,喷丸检验 参见相关检验文件
喷丸检验 详细参见检验指导书,喷丸检验 详细参见检验指导书
喷丸检验PII-G01553,喷丸检验
喷丸检验PII-G02211,喷丸检验
喷丸检验PII-G02304,喷丸检验
喷丸检验PII-G02440,喷丸检验
喷丸检验PII-G03600,喷丸检验
喷丸检验PII-G03646,喷丸检验
喷丸检验PII-G106157-02,喷丸检验
喷丸检验PII-G139130-01,喷丸检验
喷丸检验PII-G22578200,喷丸检验
喷丸检验PII-G291320,喷丸检验
喷丸检验参见相关检验文件,喷丸检验参见相关检验文件
喷砂,喷砂
喷砂  PS-36432100-01-90,喷砂
喷砂  WI-132,喷砂
喷砂 PS-608383-70,喷砂
喷砂 WI-132,喷砂
喷砂WI-132,喷砂
喷砂检验,喷砂检验
喷砂检验 PII-G36431000-01,喷砂检验
喷砂检验 PII-G36431100-01,喷砂检验
喷砂检验 PII-G36431200-01,喷砂检验
喷砂检验 PII-G36432100-01,喷砂检验
喷砂检验 PII-G608383,喷砂检验
备料,备料
备料（锯断）,锯
外包,外包
外包 PS-M046780C001-50,外包
外包 WI-040,外包
外包WI-040,外包
外包检验,外包检验
外包检验 PII-GM046780C001,外包检验
外包检验 PII-Q00011,外包检验
外包检验PII-Q00011,外包检验
外协-丝网印刷,丝网印刷(外协)
外协-机加工,机加工(外协)
外协-机加工检验,机加工(外协)检验
外协-灭菌(辐照),灭菌(辐照)(外协)
外协-灭菌(辐照)进货检验,灭菌(辐照)进货(外协)检验
外协-灭菌进货检验,灭菌进货(外协)检验
外协-热处理,非真空热处理(外协)
外协-着色,着色(外协)
外协-着色检验,着色(外协)检验
外协-磨(五轴),五轴磨(外协)
外协-磨(五轴)检验,五轴磨(外协)检验
外协-钻(深孔),深孔钻(外协)
外协-阳极氧化,阳极氧化(外协)
外协-阳极氧化检验,阳极氧化(外协)检验
外协-领料,领料(外协)
外协电火花,外协电火花
外协领料,外协领料
外圆磨,外圆磨
外圆磨检验,外圆磨检验
外圆磨（外协）,外圆磨(外协)
多轴车铣复合,多轴车铣复合
多轴车铣复合中心,多轴车铣复合中心
安规测试,安规测试
局部钝化,钝化
工具磨,工具磨
工具磨检验,工具磨检验
平面磨,平面磨
微喷砂,微喷砂
慢走丝,慢走丝
慢走丝检验,慢走丝检验
打标,激光打标
打标 PS-608383-90,激光打标
打标 WI-009,激光打标
打标(Rofin),打标(Rofin)
打标(Rofin)WI-009,打标(Rofin)
打标PS-231290-10,激光打标
打标WI-009,激光打标
打标_包装,打标_包装
打标包装,打标包装
打标包装 WI-247,打标包装
打标包装 WI-353,打标包装
打标包装WI-219,打标包装
打标包装WI-247,打标包装
打标检验,打标检验
打标检验  PII-G109280,打标检验
打标检验 PII-G00808,打标检验
打标检验 PII-G178130,打标检验
打标检验 PII-G33721023B,打标检验
打标检验 PII-G33723055B,打标检验
打标检验 PII-G35040000,打标检验
打标检验 PII-G36432000,打标检验
打标检验 PII-G36470100A,打标检验
打标检验 PII-G36470105A,打标检验
打标检验 PII-G36471100A,打标检验
打标检验 PII-G36477000A,打标检验
打标检验 PII-G608383,打标检验
打标检验 PII-Q00011,打标检验
打标检验 详细参见检验指导书,打标检验 详细参见检验指导书
打标检验PII-G01553,打标检验
打标检验PII-G02304,打标检验
打标检验PII-G139170-04,打标检验
打标检验PII-G150150,打标检验
打标检验PII-G178200A,打标检验
打标检验PII-G178210A,打标检验
打标检验PII-G181060,打标检验
打标检验PII-G291320,打标检验
打标检验PII-G33540000 PS工艺,打标检验 PS工艺
打标检验PII-Q00011,打标检验
打标检验参见相关检验文件,打标检验参见相关检验文件
打标（OEM）,激光打标(外协)
打标（检验）,打标（检验）
折弯,折弯
抛光,抛光
抛光 PS-36432100-01-100,抛光
抛光 PS-608383-20,抛光
抛光 WI-039,抛光
抛光(OEM),抛光(外协)
抛光WI-039,抛光
抛光WI-309,抛光
抛光检验,抛光检验
抛光检验 详细参见检验指导书,抛光检验 详细参见检验指导书
数控车,数控车
数控车(可外协),数控车(外协)
数控车（可外协）,数控车(外协)
数控车（外协）,数控车(外协)
数控铣,数控铣
数控铣(可外协),数控铣(外协)
数控铣（可外协）,数控铣(外协)
数控铣（外协）,数控铣(外协)
数车,数控车
数车检验,数车检验
数铣,数控铣
数铣检验,数铣检验
断料,断料
无心磨,无心磨
无心磨(可外协),无心磨(外协)
无心磨外协,无心磨(外协)
无心磨外协检验,无心磨检验
无心磨检验,无心磨检验
无心磨（可外协）,无心磨(外协)
普车,普通车削
普车检验,普车检验
普铣,普通铣削
普铣检验,普铣检验
末道清洗,清洗
末道清洗 PS-36432000-10,清洗
末道清洗 WI-121,清洗
末道清洗WI-121,清洗
机加工外协,机加工(外协)
机加工外协 N/A,机加工外协 N/A
机加工外协检验,机加工检验
机加工检验,机加工检验
柠檬酸钝化,钝化
检验,检验
检验  PII-G109280,检验
检验 PII-C00017,检验
检验 PII-C00018,检验
检验 PII-C00021,检验
检验 PII-C00027,检验
检验 PII-C00355,检验
检验 PII-C00363,检验
检验 PII-C00364,检验
检验 PII-C00372,检验
检验 PII-C00373,检验
检验 PII-C00637,检验
检验 PII-C00638,检验
检验 PII-G106240-01,检验
检验 PII-G291830-01,检验
检验 PII-G36114030,检验
检验 PII-G36124030,检验
检验 PII-G36134000-02,检验
检验 PII-G36134030-01,检验
检验 PII-G36310000-02,检验
检验 PII-G36340000/PII-C00364,检验/
检验 PII-G36431000-01,检验
检验 PII-G36431100-01,检验
检验 PII-G36431200-01,检验
检验 PII-G36432000-02,检验
检验 PII-G36432000-03,检验
检验 PII-G36432100-01,检验
检验 PII-G36471100A,检验
检验 PII-G39671000-10,检验
检验 PII-G39869008-SF,检验
检验 PII-G608379-03,检验
检验PII-109400-02,检验
检验PII-C00017,检验
检验PII-C00027,检验
检验PII-C00033,检验
检验PII-C00035,检验
检验PII-C00363,检验
检验PII-C00544,检验
检验PII-C00618,检验
检验PII-C00637,检验
检验PII-C00646,检验
检验PII-G02440,检验
检验PII-G03646,检验
检验PII-G03664,检验
检验PII-G03675,检验
检验PII-G106157-02,检验
检验PII-G139130-01,检验
检验PII-G139170-04,检验
检验PII-G256105-01,检验
检验PII-G39667000-10,检验
检验PII-G39726000-10,检验
检验PII-G39789000(PS-A),检验
氩弧焊,氩弧焊
氩弧焊接,氩弧焊
氩弧焊检验,氩弧焊检验
水切割(可外协),水切割(外协)
水切割检验,水切割检验
水切割（可外协）,水切割(外协)
注塑,注塑
注塑-外协检验  DMR-00006825,注塑(外协)检验
注塑/装配外协,注塑/装配(外协)
注塑/装配外协检验,注塑/装配检验
注塑外协,注塑(外协)
注塑外协PS-291320-40/PII-G291320,注塑外协/
注塑外协检验,注塑检验
注塑检验,注塑检验
注塑进货检验DMR-00006825,注塑进货检验
涂层(外协),涂层(外协)
涂层(外协)检验,涂层(外协)检验
涂层（外协）,涂层(外协)
涂色,涂色
涂色检验,涂色检验
深孔,深孔钻
深孔外协,深孔钻(外协)
深孔外协检验,深孔检验
深孔检验,深孔检验
深孔钻,深孔钻
深孔钻(可外协),深孔钻(外协)
深孔钻(外协),深孔钻(外协)
深孔钻检验,深孔钻检验
深孔钻（可外协）,深孔钻(外协)
深孔钻（外协）,深孔钻(外协)
深孔钻（外协） PS-36432100-01-10,深孔钻(外协)
深孔钻（外协）检验,深孔钻(外协)检验
清洗,清洗
清洗  WI-ED-015,清洗
清洗 PS-36432000-02-40,清洗
清洗 PS-36432000-03-40,清洗
清洗 PS-36432000-04-40,清洗
清洗 PS-36432100-01-110,清洗
清洗 PS-36432100-01-130,清洗
清洗 PS-36432100-01-70,清洗
清洗 PS-608379-03-20,清洗
清洗 PS-608383-30,清洗
清洗 WI-110,清洗
清洗 WI-121,清洗
清洗(OEM),清洗(外协)
清洗(末道),清洗
清洗(末道) WI-121,清洗
清洗(末道）WI-121,清洗
清洗Cleaning,清洗Cleaning
清洗WI-110,清洗
清洗WI-121,清洗
清洗WI-ED-015,清洗
清洗检验,清洗检验
清洗（末道） WI-121,清洗
清洗（末道）WI-121,清洗
激光切割,激光切割
激光切割检验,激光切割检验
激光打标,激光打标
激光打标 PS-36432000-20,激光打标
激光焊,激光焊接
激光焊接,激光焊接
激光焊接(可外协）L,激光焊接L(外协)
激光焊接检验,激光焊接检验
激光焊接（可外协）,激光焊接(外协)
灭菌(辐照)外协,灭菌(辐照)(外协)
灭菌外协,灭菌(外协)
灭菌外协检验,灭菌检验
灭菌工序进货检验,灭菌工序进货检验
灭菌工序进货检验 PII-J00875,灭菌工序进货检验
灭菌工序进货检验PII-J00875,灭菌工序进货检验
灭菌检验,灭菌检验
灭菌（辐照）外协,灭菌（辐照）(外协)
灭菌（辐照）外协 WI-346,灭菌（辐照）
灭菌（辐照）外协 检验 PII-Q00011,灭菌（辐照）检验
灭菌（辐照）外协WI-346,灭菌（辐照）
灭菌（辐照）外协检验,灭菌（辐照）检验
灭菌（辐照）外协检验 PII-J00875,灭菌（辐照）检验
点钝,点钝化
点钝化,点钝化
点钝化 PS-608383-100,点钝化
点钝化 WI-155,点钝化
点钝化PS-231290-20,点钝化
点钝化WI-155,点钝化
热处理,非真空热处理
热处理 PS-36432100-01-80,非真空热处理
热处理 PS-608383-40,非真空热处理
热处理 WI-089,非真空热处理
热处理(OEM),非真空热处理(外协)
热处理(外协),非真空热处理(外协)
热处理(真空),真空热处理
热处理(非真空),非真空热处理
热处理-外协,非真空热处理(外协)
热处理-外协检验,热处理(外协)检验
热处理WI-089,非真空热处理
热处理WI-159,非真空热处理
热处理外协,非真空热处理(外协)
热处理外协检验,热处理检验
热处理检验,热处理检验
热处理检验  PII-G02039,热处理检验
热处理检验  PII-G106240-01,热处理检验
热处理检验 PII-G00808,热处理检验
热处理检验 PII-G1/33100200-H,热处理检验/33100200-H
热处理检验 PII-G1/33140000-H,热处理检验/33140000-H
热处理检验 PII-G133104146R-S,热处理检验
热处理检验 PII-G32802000-H PS工艺,热处理检验 PS工艺
热处理检验 PII-G32802000-S,热处理检验
热处理检验 PII-G32820100-H PS工艺,热处理检验 PS工艺
热处理检验 PII-G36431000-01,热处理检验
热处理检验 PII-G36431100-01,热处理检验
热处理检验 PII-G36431200-01,热处理检验
热处理检验 PII-G36432100-01,热处理检验
热处理检验 PII-G39590900-H PS工艺,热处理检验 PS工艺
热处理检验 PII-G39659000-02,热处理检验
热处理检验 PII-G608383,热处理检验
